Perspective,Predicted,Actual,Answers,question,Input_spans
INFORMATION,"<pad> Coronary heart failure, stroke, heart failure, stroke, heart failure, heart failure, heart failure, stroke, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart failure, heart","Heart attack symptoms can vary, and they may include retrosternal chest pain, chest tightness, palpitation, sweating, nausea, vomiting, syncope, and radiation of pain to the left shoulder. Atypical symptoms may involve neck, jaw, tooth, epigastric, or throat pain, and individuals may experience substernal chest pain, shortness of breath, indigestion, fatigue, or no specific symptoms. The presentation can vary depending on the patient.","['TYPICAL : retrosternal chest pain , chest tightness , palpitation , sweating , nausea  and vomiting , syncope , radiation of the pain to the left shoulder ; all or some of the above features may occur \nATYPICAL : neck , jaw , tooth , epigastric , throat pain may occur with anyone of the above symptoms .', 'a) substernal chest pain\nb) sortnessf breath\nc) indigestion\nd) fatigue\ne) nothing\n\nALL of the above, depending on the patient']",what does a heart attack feel like?,"TYPICAL : retrosternal chest pain , chest tightness , palpitation , sweating , nausea  and vomiting , syncope , radiation of the pain to the left shoulder ; all or some of the above features may occur ATYPICAL : neck , jaw , tooth , epigastric , throat pain may occur with anyone of the above symptoms ) substernal chest painb) sortnessf breathc) indigestiond) fatiguee) nothingALL of the above, depending on the patient "
INFORMATION,"ness, sex, genital herpes, or genital sores.</s>","For information purposes, herpes transmission can occur even during the drying of blisters due to the presence of a contagious amount of the virus. It can be transmitted through activities like kissing, sharing utensils, or oral contact with genital sores. Outbreaks can happen without visible symptoms, making transmission unknowingly possible. Despite medication or condom use, spreading herpes remains a concern.","[""There can be a small, but contagious, amount of virus present even as the blisters are drying up. If your partner has contact of that type with your vaginal area, he can get a herpes infection where the contact took place-in or around his mouth. Cold sores are herpes virus of the mouth, usually passed by kissing, eating or drinking after someone who has herpes, but they can also be acquired through o*r*a*l contact on genital sores. Also remember, that you can have outbreaks and not know it-either far up inside where you can't see them, or asymptomatically-which means the virus is active, but does not cause the outward show of blisters."", ""are you an animal? if you're having sex so much you get a disease, that should tell you to calm down with the rutting. yes, you can give him herpes with oral. you can also give it to him without an outbreak on your part."", ""Yes you can.  They say 70% of the people who have herpes got it from their partners who didn't have an outbreak at the time.  Even being on medication you can spread it.  Even using condoms you can spread it.  It's really a bad disease.""]",can my sexual partner get herpes after giving me or*l sex after i had already had a genital herpes outbreak?,"There can be a small, but contagious, amount of virus present even as the blisters are drying up Cold sores are herpes virus of the mouth, usually passed by kissing, eating or drinking after someone who has herpes, but they can also be acquired through o*r*a*l contact on genital sores. that you can have outbreaks and not know it-either far up inside where you can't see them, or asymptomatically-which means the virus is active, but does not cause the outward show of blisters you can give him herpes with oral. you can also give it to him without an outbreak on your part They say 70% of the people who have herpes got it from their partners who didn't have an outbreak at the time Even being on medication you can spread it.  Even using condoms you can spread it.  It's really a bad disease "
CAUSE,ness of a genital herpes infection.</s>,"Some of the causes of herpes transmission include contact with the genital area during an outbreak, leading to the herpes virus being transmitted through oral contact. This can result in cold sores, which are caused by the herpes virus and can be transmitted through activities like kissing or sharing items with someone who has herpes.","[""There can be a small, but contagious, amount of virus present even as the blisters are drying up. If your partner has contact of that type with your vaginal area, he can get a herpes infection where the contact took place-in or around his mouth. Cold sores are herpes virus of the mouth, usually passed by kissing, eating or drinking after someone who has herpes, but they can also be acquired through o*r*a*l contact on genital sores. Also remember, that you can have outbreaks and not know it-either far up inside where you can't see them, or asymptomatically-which means the virus is active, but does not cause the outward show of blisters."", ""are you an animal? if you're having sex so much you get a disease, that should tell you to calm down with the rutting. yes, you can give him herpes with oral. you can also give it to him without an outbreak on your part."", ""Yes you can.  They say 70% of the people who have herpes got it from their partners who didn't have an outbreak at the time.  Even being on medication you can spread it.  Even using condoms you can spread it.  It's really a bad disease.""]",can my sexual partner get herpes after giving me or*l sex after i had already had a genital herpes outbreak?,"If your partner has contact of that type with your vaginal area, he can get a herpes infection where the contact took place-in or around his mouth. Cold sores are herpes virus of the mouth, usually passed by kissing, eating or drinking after someone who has herpes, but they can also be acquired through o*r*a*l contact on genital sores "
SUGGESTION, to make informed medical decisions.</s>,It is suggested to call a doctor if you have a build under your arms.,"['call your doctor.', 'A bump, rash, irritation, an infection or burn is usually the cause.']",what does it mean when someone has a boil under their arms?,call your doctor. 
CAUSE,"ness, rash, irritation, an infection, or burn.</s>","A bump, rash, irritation, an infection or burn is usually the cause of a boil under the arms.","['call your doctor.', 'A bump, rash, irritation, an infection or burn is usually the cause.']",what does it mean when someone has a boil under their arms?,"A bump, rash, irritation, an infection or burn is usually the cause. "
SUGGESTION, treatment for yellow teeth.</s>,"For a natural teeth-whitening method, mix 1 spoon each of salt, sugar, and honey, and rub your teeth with a lemon. Consider enhancing the results with a laser teeth whitening system like BriteSmile or Zoom. Maintaining good oral hygiene is crucial, so invest in an electric toothbrush like Sonicare. Avoid staining substances like coffee and tea, and exercise common sense, such as refraining from smoking to prevent yellowing of teeth. Consistent dental care, including daily brushing, is essential for optimal results, as certain foods can contribute to tooth discoloration.","['Natural way to whiten teeth:\n\nMix 1 spoon salt, 1 spoon sugar, 1 spoon honey and use a lemon to rub your teeth.', 'i wouls say use a laser teeth whitening system like britesmile or zoom and then the rest will be up to you. Get an electric toothbrush like sonicare and stay away from things like coffee and tea, and use a little common sense.', 'not to smoke because they keep your teeth yellow. so best way is keep clean every day . and some food make your teeth yellow too. brush every day dental care.']",What is the most permanent wayto whiten teeth?,"Natural way to whiten teeth:Mix 1 spoon salt, 1 spoon sugar, 1 spoon honey and use a lemon to rub your teeth use a laser teeth whitening system like britesmile or zoom and then the rest will be up to you. Get an electric toothbrush like sonicare and stay away from things like coffee and tea, and use a little common sense. not to smoke because they keep your teeth yellow. so best way is keep clean every day . and some food make your teeth yellow too. brush every day dental care "
SUGGESTION,ing a shoulder problem.</s>,"Consider using a heated pad that can be placed inside your clothes for comfort. It provides warmth and helps alleviate pain, which has been beneficial for many experiencing similar issues.","['I have found a  pad which can be heated and placed inside the clothes  is a great comfort, it heats up and helps with the pain, but my problem is not from a surgery, so it may not help you sorry...', 'Heat has really helped for me']",anybody outthere with a shoulder problem(s) tellme how are you doing mine is a nightmare answer soon?,"a  pad which can be heated and placed inside the clothes  is a great comfort, it heats up and helps with the pain, Heat has really helped "
SUGGESTION,", if you have a hearing disability, contact a specialist to see if you are experiencing hearing loss.</s>","For hearing loss, seeking assistance from various sources is recommended. You can ask your doctor, church, health clinic, or organizations for the deaf to provide referrals to institutions where you can acquire the necessary skills to lead a normal life despite hearing challenges. Additionally, obtaining a hearing aid may be advised, and you can inquire about this at a doctor's office, particularly from an ENT specialist (Otolaryngologist).","['From the ENT Specialist-the  OtoLaryngiolgist.', ""I think you need to get a hearing aid at a doctor's office."", 'Ask your doctor, church, health clinic or  organization of the deaf to refer you to a institution where you can learn all the skills you will need to live a normal life.', 'GO TO A HOSPITAL AND ASK HIM']",if some is experianceing hearing loss where can they find help ?,": Ask your doctor, church, health clinic or  organization of the deaf to refer you to a institution where you can learn all the skills you will need to live a normal lif 1: I think you need to get a hearing aid at a doctor's office From the ENT Specialist-the  OtoLaryngiolgis "
INFORMATION,swollen glands (Lymph Nodes).</s>,"It's important to note that some glands are situated deeper in the body and cannot be easily felt. When experiencing swollen glands, particularly lymph nodes, it often serves as a common symptom of various viral illnesses like colds or sore throats, typically improving with home treatments. These nodes play a crucial role in filtering lymph fluid, capturing and destroying bacteria, viruses, and other foreign substances through specialized white blood cells called lymphocytes. Lymph nodes can be solitary or grouped, ranging in size from small as a pinhead to as large as an olive. Common locations for palpable groups of lymph nodes include the neck, groin, and underarms. While lymph nodes are generally not tender or painful, it's essential to keep in mind that most nodes in the body cannot be easily felt.","['not really.  some glands are deeper in the body, and you cannot feel them.  must keep that in mind.', 'Having swollen glands (Lymph Nodes) are a typical symptom of many viral illnesses, such as colds or sore throats, that often get better with home treatment.\n\nThe lymph nodes filter lymph fluid as it flows through them, trapping bacteria, viruses, and other foreign substances, which are then destroyed by special white blood cells called lymphocytes.\n\nLymph nodes may be found singly or in groups, and they may be as small as the head of a pin or as large as an olive. Groups of lymph nodes can be felt in the neck, groin, and underarms. Lymph nodes generally are not tender or painful. Most lymph nodes in the body cannot be felt.']",when someone's glands are swollen a lump must be present were it is swollen at?,"not really.  some glands are deeper in the body, and you cannot feel them.  must keep that in mind Having swollen glands (Lymph Nodes) are a typical symptom of many viral illnesses, such as colds or sore throats, that often get better with home treatment.The lymph nodes filter lymph fluid as it flows through them, trapping bacteria, viruses, and other foreign substances, which are then destroyed by special white blood cells called lymphocytes.Lymph nodes may be found singly or in groups, and they may be as small as the head of a pin or as large as an olive. Groups of lymph nodes can be felt in the neck, groin, and underarms. Lymph nodes generally are not tender or painful. Most lymph nodes in the body cannot be fe "
SUGGESTION,mark cream</s>,"Stretch marks are unlikely to disappear without surgery to remove them. Palmer's stretch mark cream has been helpful, and cocoa butter is also effective in reducing their appearance.","['Unlikely unless you have surgery to remove them, I suggest Palmers stretch mark cream it has helped reduce mine greatly (i used it during and after being pregnant)', 'Cocoa butter helps alot with this.']",Do stretch marks go away?,Unlikely unless you have surgery to remove them Palmers stretch mark cream it has helped Cocoa butter helps alot with this 
EXPERIENCE,"<pad> Massage cream, Cocoa butter, Cocoa butter, Cocoa butter and Cocoa butter.</s>","One user, who used Palmer's stretch mark cream during and after pregnancy, experienced significant reduction in their stretch marks.","['Unlikely unless you have surgery to remove them, I suggest Palmers stretch mark cream it has helped reduce mine greatly (i used it during and after being pregnant)', 'Cocoa butter helps alot with this.']",Do stretch marks go away?,Palmers stretch mark cream it has helped reduce mine greatly (i used it during and after being pregnant 
INFORMATION," in a safe, safe and effective way to eat high-fat foods.</s>",Orlistat (Xenical) was made available on June 1st 2006. It might help active people with fast metabolism rate to lose or maintain weight by helping them maintain fat levels. It might not be very helpful to people with slower metabolism and sedentary lifestyle.,"['Its still under the process of release.\n\nIt will be vailable after june 1st, 2006. have patience\n\nIts goin to create history.', ""Be careful, because I was on it for a while and it does give you diarrhea and can make you gassy, esp if you have eaten anything high-fat.  It works, otherwise, but slowly. If you don't tend to eat much high-fat anyway, it doesn't help much. If you have a slow metabolism and you don't exercise much, like me, you don't really lose much weight even with the pills.  For very active people who like to munch on fast food, it's probably more effective.""]","When is the diet pill ""Orlistat"" (Xenical) O.T.C. be on store shelves?","Its still under the process of release.It will be vailable after june 1st, 2006. If you have a slow metabolism and you don't exercise much, like me, you don't really lose much weight even with the pills.  For very active people who like to munch on fast food, it's probably more effective "
SUGGESTION," sugar is the best way to go, stop eating it.</s>","To control blood sugar levels, focus on a balanced diet with controlled carbohydrate intake. Aim for three meals with 45 carbs or fewer and two snacks with 15 carbs or fewer. Monitor both total carbs and sugar content. Prioritize consuming greens as they are low in carbs. Consider the long-term effects on your health and finances by sticking to this approach.","['Yes diet is the best way to go, stop eating it. Simple eh?', 'diet and exercise', ""ok, now for a not stupid answer... to control sugar, as in blood sugar you need to not eat sweets for one but that's common sense. the main thing you need to do is keep an eye on your carbs. try to have 3 meals at 45 carbs or less and 2 snacks at 15 carbs or less. this is total carb not sugar. it's ideal to have 3 or 4 grams of suger for 40 carbs. that is great. just monitor your carbs and sugar. any greens are free foods so eat as much as you want. i'm diabetic and have been for 5 years now so if you need to talk i'm here. bloodyclover420@yahoo.com"", 'you have to set yourself down and think!  if i keep at this rate how would i look in a month.  fat, pimply, rotten, teeth.  or just think about how much money you will save.']",how to control sugar?,"diet is the best way to go diet and exercise to control sugar, as in blood sugar you need to not eat sweets for one but that's common sense the main thing you need to do is keep an eye on your carbs. try to have 3 meals at 45 carbs or less and 2 snacks at 15 carbs or less this is total carb not sugar. it's ideal to have 3 or 4 grams of suger for 40 carbs. that is great. just monitor your carbs and sugar. any greens are free foods so eat as much as you want you have to set yourself down and think if i keep at this rate how would i look in a month.  fat, pimply, rotten, teeth.  or just think about how much money you will save "
INFORMATION,<pad> Tuberculosis (TB) is the most common form of infectious conjunctivitis.</s>,"For information purpose infectious conjunctivitis is generally contagious, while allergic and irritant conjunctivitis are not. Bacterial conjunctivitis has a short incubation period of a few days, whereas viral conjunctivitis may take up to a week to develop.","['All types of infectious conjunctivitis are contagious and can spread from one eye to the other by touching the eyes. A child can first become infected from direct contact with someone who has the infection or something that person has touched, such as a used tissue. The infectious organisms can also spread through coughing and sneezing. In addition, certain viruses spread in the summertime when children swim in contaminated water or share contaminated towels. \n\nAllergic and irritant conjunctivitis are not contagious. \n\nThe incubation time for bacterial conjunctivitis is a few days. In viral cases, it can be up to a week.', 'up to 10 days, depending on rate of infection']",how long is pink eye highly contagious.?,"All types of infectious conjunctivitis are contagious Allergic and irritant conjunctivitis are not contagious. The incubation time for bacterial conjunctivitis is a few days. In viral cases, it can be up to a week "
CAUSE,", sneezing, coughing, sneezing, coughing, sneezing, coughing, sneezing, coughing, coughing and sneezing.</s>","Some causes of eye infections are direct contact with an infected person or contaminated objects, like tissues. They can also be transmitted through coughing and sneezing. Additionally, swimming in contaminated water or sharing towels in the summer can lead to the spread of these infections.","['All types of infectious conjunctivitis are contagious and can spread from one eye to the other by touching the eyes. A child can first become infected from direct contact with someone who has the infection or something that person has touched, such as a used tissue. The infectious organisms can also spread through coughing and sneezing. In addition, certain viruses spread in the summertime when children swim in contaminated water or share contaminated towels. \n\nAllergic and irritant conjunctivitis are not contagious. \n\nThe incubation time for bacterial conjunctivitis is a few days. In viral cases, it can be up to a week.', 'up to 10 days, depending on rate of infection']",how long is pink eye highly contagious.?,"spread from one eye to the other by touching the eyes. A child can first become infected from direct contact with someone who has the infection or something that person has touched, such as a used tissue. spread through coughing and sneezing spread in the summertime when children swim in contaminated water or share contaminated towels "
